Semantic Weight,Code Weight,Best Threshold,Best F1,Best Precision,Best Recall,AP,T=-30.0 P,T=-30.0 R,T=-30.0 F1,T=-25.0 P,T=-25.0 R,T=-25.0 F1,T=-20.0 P,T=-20.0 R,T=-20.0 F1,T=-15.0 P,T=-15.0 R,T=-15.0 F1,T=-10.0 P,T=-10.0 R,T=-10.0 F1
0.5,0.5,-29.997716672728156,0.7407407406941015,0.5882352941176471,1.0,0.617396761734997,0.5882352941176471,1.0,0.7407407407407407,0.5,0.7,0.5833333333333334,0.5,0.5,0.5,1.0,0.1,0.18181818181818182,0.0,0.0,0.0
0.6,0.4,-25.576750666830094,0.7407407406941015,0.5882352941176471,1.0,0.5895179738562092,0.5882352941176471,1.0,0.7407407407407407,0.5625,0.9,0.6923076923076923,0.5,0.7,0.5833333333333334,0.5,0.3,0.375,0.0,0.0,0.0
0.7,0.3,-21.155784660932035,0.7407407406941015,0.5882352941176471,1.0,0.6045179738562091,0.5555555555555556,1.0,0.7142857142857143,0.5882352941176471,1.0,0.7407407407407407,0.5625,0.9,0.6923076923076923,0.5,0.5,0.5,0.0,0.0,0.0
0.8,0.2,-16.734818655033973,0.7407407406941015,0.5882352941176471,1.0,0.6083058526440879,0.5555555555555556,1.0,0.7142857142857143,0.5555555555555556,1.0,0.7142857142857143,0.5882352941176471,1.0,0.7407407407407407,0.5333333333333333,0.8,0.64,0.0,0.0,0.0
0.4,0.6,-34.41868267862622,0.7407407406941015,0.5882352941176471,1.0,0.617396761734997,0.5625,0.9,0.6923076923076923,0.46153846153846156,0.6,0.5217391304347826,0.375,0.3,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.7,-38.83964868452428,0.7407407406941015,0.5882352941176471,1.0,0.6102539045921398,0.5,0.7,0.5833333333333334,0.5,0.5,0.5,0.5,0.2,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
